d7,d6,d5,d4,d3,d2,d1,next3
-72.8041516245,-6.82680118143,0.933327824453,51.0343737296,14.0186915888,50.0,0.0,-38.3177439209
-6.82680118143,0.933327824453,51.0343737296,14.0186915888,50.0,0.0,-7.65027322404,-39.8341373635
0.933327824453,51.0343737296,14.0186915888,50.0,0.0,-7.65027322404,-7.10059171598,-17.1372153723
51.0343737296,14.0186915888,50.0,0.0,-7.65027322404,-7.10059171598,-23.5668789809,22.3026794816
14.0186915888,50.0,0.0,-7.65027322404,-7.10059171598,-23.5668789809,-9.16666666667,27.3597571071
50.0,0.0,-7.65027322404,-7.10059171598,-23.5668789809,-9.16666666667,15.5963302752,10.3348554033
0.0,-7.65027322404,-7.10059171598,-23.5668789809,-9.16666666667,15.5963302752,15.873015873,-7.71207351315
-7.65027322404,-7.10059171598,-23.5668789809,-9.16666666667,15.5963302752,15.873015873,-4.1095890411,-12.4913733609
-7.10059171598,-23.5668789809,-9.16666666667,15.5963302752,15.873015873,-4.1095890411,-1.42857142857,-18.3798751031
-23.5668789809,-9.16666666667,15.5963302752,15.873015873,-4.1095890411,-1.42857142857,-2.17391304348,-14.4515760947
-9.16666666667,15.5963302752,15.873015873,-4.1095890411,-1.42857142857,-2.17391304348,-8.88888888889,-6.42475617134
15.5963302752,15.873015873,-4.1095890411,-1.42857142857,-2.17391304348,-8.88888888889,-7.31707317073,4.37057786896
15.873015873,-4.1095890411,-1.42857142857,-2.17391304348,-8.88888888889,-7.31707317073,1.75438596491,1.77585576959
-4.1095890411,-1.42857142857,-2.17391304348,-8.88888888889,-7.31707317073,1.75438596491,-0.862068965517,14.5023315148
-1.42857142857,-2.17391304348,-8.88888888889,-7.31707317073,1.75438596491,-0.862068965517,3.47826086957,14.0543736755
-2.17391304348,-8.88888888889,-7.31707317073,1.75438596491,-0.862068965517,3.47826086957,-0.840336134454,14.1594156923
-8.88888888889,-7.31707317073,1.75438596491,-0.862068965517,3.47826086957,-0.840336134454,11.8644067797,-2.14943553179
-7.31707317073,1.75438596491,-0.862068965517,3.47826086957,-0.840336134454,11.8644067797,3.0303030303,-7.50531995744
1.75438596491,-0.862068965517,3.47826086957,-0.840336134454,11.8644067797,3.0303030303,-0.735294117647,-5.97637504614
-0.862068965517,3.47826086957,-0.840336134454,11.8644067797,3.0303030303,-0.735294117647,-4.44444444444,3.97988042192
3.47826086957,-0.840336134454,11.8644067797,3.0303030303,-0.735294117647,-4.44444444444,-2.32558139535,3.32038719041
-0.840336134454,11.8644067797,3.0303030303,-0.735294117647,-4.44444444444,-2.32558139535,0.793650793651,-1.3194174494
11.8644067797,3.0303030303,-0.735294117647,-4.44444444444,-2.32558139535,0.793650793651,5.51181102362,-7.63122847302
3.0303030303,-0.735294117647,-4.44444444444,-2.32558139535,0.793650793651,5.51181102362,-2.98507462687,-7.06550868486
-0.735294117647,-4.44444444444,-2.32558139535,0.793650793651,5.51181102362,-2.98507462687,-3.84615384615,-6.52513996268
-4.44444444444,-2.32558139535,0.793650793651,5.51181102362,-2.98507462687,-3.84615384615,-0.8,-21.7099262875
-2.32558139535,0.793650793651,5.51181102362,-2.98507462687,-3.84615384615,-0.8,-2.41935483871,-13.4896277857
0.793650793651,5.51181102362,-2.98507462687,-3.84615384615,-0.8,-2.41935483871,-3.30578512397,-20.1835542002
5.51181102362,-2.98507462687,-3.84615384615,-0.8,-2.41935483871,-3.30578512397,-15.9847863248,-10.6497087378
-2.98507462687,-3.84615384615,-0.8,-2.41935483871,-3.30578512397,-15.9847863248,5.80094366303,-8.59475111009
-3.84615384615,-0.8,-2.41935483871,-3.30578512397,-15.9847863248,5.80094366303,-9.99971153846,-2.53771277501
-0.8,-2.41935483871,-3.30578512397,-15.9847863248,5.80094366303,-9.99971153846,-6.45094086237,0.281734715082
-2.41935483871,-3.30578512397,-15.9847863248,5.80094366303,-9.99971153846,-6.45094086237,7.85590129074,-9.92434633364
-3.30578512397,-15.9847863248,5.80094366303,-9.99971153846,-6.45094086237,7.85590129074,-3.94267320338,-2.61907451368
-15.9847863248,5.80094366303,-9.99971153846,-6.45094086237,7.85590129074,-3.94267320338,-3.63149337228,7.36493152022
5.80094366303,-9.99971153846,-6.45094086237,7.85590129074,-3.94267320338,-3.63149337228,-2.35017975798,7.64807485092
-9.99971153846,-6.45094086237,7.85590129074,-3.94267320338,-3.63149337228,-2.35017975798,3.36259861659,2.40842315653
-6.45094086237,7.85590129074,-3.94267320338,-3.63149337228,-2.35017975798,3.36259861659,6.35251266162,-4.87445513102
7.85590129074,-3.94267320338,-3.63149337228,-2.35017975798,3.36259861659,6.35251266162,-2.06703642728,-11.7390802328
